2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,Rating in the most recent five years
626/738,n/a,n/a,Jean Augustine,Brampton,4.3,n/a
626/738,n/a,n/a,Woodroffe,Ottawa,4.3,n/a
634/738,478/625,—,Tagwi,Avonmore,4.2,5
634/738,519/625,,Loretto,Toronto,4.2,4.6
634/738,519/625,—,Michipicoten,Wawa,4.2,4.6
634/738,519/625,—,York Memorial,Toronto,4.2,4.6
634/738,526/625,—,Smiths Falls,Smiths Falls,4.2,4.5
634/738,540/625,—,Stayner,Stayner,4.2,4.4
634/738,545/625,—,Norwood,Norwood,4.2,4.3
634/738,558/625,—,East Elgin,Aylmer,4.2,4.1
634/738,581/625,—,David and Mary Thomson,Toronto,4.2,3.7
634/738,581/625,—,Geraldton,Geraldton,4.2,3.7
634/738,595/625,,Central Commerce,Toronto,4.2,3.4
645/738,460/625,—,Russel High,Russell,4.1,5.2
645/738,507/625,—,Twin Lakes,Orillia,4.1,4.7
645/738,526/625,—,Pain Court,Pain Court,4.1,4.5
645/738,574/625,—,Trenton,Trenton,4.1,3.9
645/738,591/625,—,Kapuskasing,Kapuskasing,4.1,3.6
645/738,593/625,—,Barton,Hamilton,4.1,3.5
651/738,410/625,—,Theriault,Timmins,4,5.6
651/738,574/625,—,North Hastings,Bancroft,4,3.9
651/738,607/625,—,Montcalm,London,4,2.6
654/738,496/625,—,Our Lady of the Lake,Keswick,3.9,4.8
654/738,545/625,—,Archbishop Romero,Toronto,3.9,4.3
654/738,581/625,—,Cathedral,Hamilton,3.9,3.7
657/738,478/625,—,Fort Frances,Fort Frances,3.8,5
657/738,526/625,—,C W Jefferys,Toronto,3.8,4.5
657/738,566/625,—,Iroquois Falls,Iroquois Falls,3.8,4
657/738,566/625,—,Ridgemont,Ottawa,3.8,4
657/738,566/625,—,Winston Churchill,Toronto,3.8,4
657/738,581/625,—,Roland Michener,South Porcupine,3.8,3.7
663/738,566/625,—,O'Gorman,Timmins,3.7,4
663/738,581/625,—,Pauline Johnson,Brantford,3.7,3.7
663/738,595/625,—,Sutton,Sutton West,3.7,3.4
666/738,400/625,—,Cité des Jeunes,Kapuskasing,3.6,5.7
666/738,526/625,,Fellowes,Pembroke,3.6,4.5
666/738,551/625,,Glencoe,Glencoe,3.6,4.2
666/738,558/625,—,George S Henry,Toronto,3.6,4.1
666/738,566/625,,Regina Mundi,London,3.6,4
666/738,581/625,—,Clarke Road,London,3.6,3.7
666/738,599/625,—,Cedarbrae,Toronto,3.6,3.2
673/738,519/625,—,Champlain,Chelmsford,3.5,4.6
673/738,540/625,—,Jarvis,Toronto,3.5,4.4
673/738,558/625,—,Quinte,Belleville,3.5,4.1
673/738,578/625,—,Dunnville,Dunnville,3.5,3.8
673/738,581/625,—,Runnymede,Toronto,3.5,3.7
678/738,496/625,—,Blenheim,Blenheim,3.4,4.8
678/738,507/625,—,Kirkland Lake,Kirkland Lake,3.4,4.7
678/738,507/625,—,Monsignor John Pereyma,Oshawa,3.4,4.7
678/738,558/625,—,Wallaceburg,Wallaceburg,3.4,4.1
678/738,581/625,—,Waterford,Waterford,3.4,3.7
678/738,581/625,—,West Hill,Toronto,3.4,3.7
678/738,n/a,n/a,F J McElligott,Mattawa,3.4,n/a
678/738,n/a,n/a,Thomas L Kennedy,Mississauga,3.4,n/a
686/738,478/625,—,Port Colborne,Port Colborne,3.3,5
686/738,496/625,,Dante Alighieri,Toronto,3.3,4.8
686/738,545/625,—,John Polanyi,Toronto,3.3,4.3
689/738,558/625,,St Lawrence,Cornwall,3.2,4.1
689/738,578/625,—,Cornwall,Cornwall,3.2,3.8
689/738,599/625,—,Northern,Sturgeon Falls,3.2,3.2
689/738,604/625,—,Athens,Athens,3.2,2.8
689/738,610/625,—,Almaguin Highlands,South River,3.2,2.4
689/738,617/625,—,Westview Centennial,Toronto,3.2,1.9
689/738,n/a,n/a,ÉS Northern,Sturgeon Falls,3.2,n/a
689/738,n/a,n/a,North Addington,Cloyne,3.2,n/a
697/738,540/625,,Port Hope,Port Hope,3.1,4.4
697/738,558/625,,Marathon,Marathon,3.1,4.1
699/738,602/625,—,Weston,Toronto,3,3
699/738,611/625,—,Downsview,Toronto,3,2.3
699/738,614/625,—,Westview Freedom Academy,Windsor,3,2
699/738,n/a,n/a,Château-Jeunesse,Longlac,3,n/a
699/738,n/a,n/a,Delores D. Echum,Moose Factory,3,n/a
704/738,507/625,—,Ridgetown,Ridgetown,2.9,4.7
704/738,551/625,—,Ernestown,Odessa,2.9,4.2
706/738,n/a,n/a,Safa & Marwa,Mississauga,2.8,n/a
707/738,n/a,n/a,Espanola,Espanola,2.7,n/a
708/738,551/625,,College Avenue,Woodstock,2.6,4.2
709/738,602/625,—,Lake Superior,Terrace Bay,2.5,3
710/738,605/625,—,Queen Elizabeth,Sioux Lookout,2.3,2.7
710/738,607/625,—,Sir Winston Churchill,Hamilton,2.3,2.6
710/738,n/a,n/a,Everest,Thornhill,2.3,n/a
713/738,574/625,—,White Pines,Sault Ste. Marie,2.2,3.9
714/738,617/625,—,Sir John A Macdonald,Hamilton,2.1,1.9
715/738,460/625,,Georges-P-Vanier,Hamilton,2,5.2
716/738,581/625,—,George Harvey,Toronto,1.8,3.7
716/738,605/625,—,Nipigon Red Rock,Red Rock,1.8,2.7
716/738,614/625,—,Emery,Toronto,1.8,2
719/738,566/625,—,Rainy River,Rainy River,1.7,4
720/738,595/625,,Oakwood,Toronto,1.5,3.4
720/738,621/625,—,Sir Guy Carleton,Nepean,1.5,1.5
722/738,612/625,—,Kipling,Toronto,1.4,2.2
722/738,614/625,—,Arthur Voaden,St Thomas,1.4,2
724/738,622/625,—,Hanmer,Hanmer,1.1,1.1
725/738,609/625,—,Manitouwadge,Manitouwadge,0.9,2.5
726/738,595/625,—,Renaissance,Timmins,0.6,3.4
726/738,n/a,n/a,l'Odyssée,North Bay,0.6,n/a
726/738,n/a,n/a,Notre-Dame,Woodstock,0.6,n/a
729/738,613/625,—,Central,Toronto,0.2,2.1
730/738,624/625,—,Northern Lights,Moosonee,0.1,0.6
731/738,617/625,—,Cochrane,Cochrane,0,1.9
731/738,620/625,—,College Heights,Guelph,0,1.8
731/738,623/625,—,Alexander Mackenzie,Sarnia,0,0.9
731/738,625/625,,Bendale,Toronto,0,0
731/738,n/a,n/a,Judith Nyman,Brampton,0,n/a
731/738,n/a,n/a,St. Luke Catholic,Smiths Falls,0,n/a
731/738,n/a,n/a,Thomas Fiddler Memorial,Sandy Lake,0,n/a
731/738,n/a,n/a,West Credit,Mississauga,0,n/a
