2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,Rating in the most recent five years
2210/3046,n/a,n/a,Holy Family,Ottawa,5.1,n/a
2210/3046,n/a,n/a,Immaculate Conception,Cornwall,5.1,n/a
2210/3046,n/a,n/a,John Galt,Guelph,5.1,n/a
2210/3046,n/a,n/a,Keatsway,Waterloo,5.1,n/a
2210/3046,n/a,n/a,Laure-Rièse,Toronto,5.1,n/a
2210/3046,n/a,n/a,Leslieville,Toronto,5.1,n/a
2210/3046,n/a,n/a,Meadowview,Addison,5.1,n/a
2210/3046,n/a,n/a,Minto-Clifford Central,Harriston,5.1,n/a
2210/3046,n/a,n/a,Monck,Bracebridge,5.1,n/a
2210/3046,n/a,n/a,Parkinson Centennial,Orangeville,5.1,n/a
2210/3046,n/a,n/a,Perth Road,Perth Road,5.1,n/a
2210/3046,n/a,n/a,Plowman's Park,Mississauga,5.1,n/a
2210/3046,n/a,n/a,Preston,Cambridge,5.1,n/a
2210/3046,n/a,n/a,Queen Mary,Peterborough,5.1,n/a
2210/3046,n/a,n/a,R Tait McKenzie,Almonte,5.1,n/a
2210/3046,n/a,n/a,Romeo,Stratford,5.1,n/a
2210/3046,n/a,n/a,Sacred Heart,Cornwall,5.1,n/a
2210/3046,n/a,n/a,South Ridge,Tillsonburg,5.1,n/a
2210/3046,n/a,n/a,St Anne,Cambridge,5.1,n/a
2210/3046,n/a,n/a,St Anne,Peterborough,5.1,n/a
2210/3046,n/a,n/a,St Anthony,Toronto,5.1,n/a
2210/3046,n/a,n/a,St Catherine of Siena,Barrie,5.1,n/a
2210/3046,n/a,n/a,St Dunstan,Toronto,5.1,n/a
2210/3046,n/a,n/a,St Helen,Toronto,5.1,n/a
2210/3046,n/a,n/a,St Martin de Porres,Toronto,5.1,n/a
2210/3046,n/a,n/a,St Michael,Cambridge,5.1,n/a
2210/3046,n/a,n/a,St Michael the Archangel,Barrie,5.1,n/a
2210/3046,n/a,n/a,St Michael's,Woodstock,5.1,n/a
2210/3046,n/a,n/a,St Paul the Apostle,Coniston,5.1,n/a
2210/3046,n/a,n/a,Suddaby,Kitchener,5.1,n/a
2210/3046,n/a,n/a,Terraview-Willowfield,Toronto,5.1,n/a
2210/3046,n/a,n/a,Tweed,Tweed,5.1,n/a
2210/3046,n/a,n/a,Viscount Alexander,Ottawa,5.1,n/a
2210/3046,n/a,n/a,Willow Landing,Barrie,5.1,n/a
2210/3046,n/a,n/a,Wortley Road,London,5.1,n/a
2263/3046,n/a,n/a,Arthur,Arthur,5,n/a
2263/3046,n/a,n/a,Assiginack,Manitowaning,5,n/a
2263/3046,n/a,n/a,Baltimore,Baltimore,5,n/a
2263/3046,n/a,n/a,Bayview,Midland,5,n/a
2263/3046,n/a,n/a,Bridgeview,Point Edward,5,n/a
2263/3046,n/a,n/a,Cashmere Avenue,Mississauga,5,n/a
2263/3046,n/a,n/a,Cedarbrae,Waterloo,5,n/a
2263/3046,n/a,n/a,Chicopee Hills,Kitchener,5,n/a
2263/3046,n/a,n/a,Dorset Park,Toronto,5,n/a
2263/3046,n/a,n/a,Dr Ross Tilley,Bowmanville,5,n/a
2263/3046,n/a,n/a,Fred C Cook,Bradford,5,n/a
2263/3046,n/a,n/a,George Webster,Toronto,5,n/a
2263/3046,n/a,n/a,Guy B Brown,Waterdown,5,n/a
2263/3046,n/a,n/a,H M Robbins,Sault Ste. Marie,5,n/a
2263/3046,n/a,n/a,Harwood,Toronto,5,n/a
2263/3046,n/a,n/a,Hillcrest,Hamilton,5,n/a
2263/3046,n/a,n/a,Holy Family,Woodstock,5,n/a
2263/3046,n/a,n/a,Holy Trinity,Sudbury,5,n/a
2263/3046,n/a,n/a,La Pinède,Borden,5,n/a
2263/3046,n/a,n/a,Le Coeur du Nord,Kapuskasing,5,n/a
2263/3046,n/a,n/a,Little Falls,St Marys,5,n/a
2263/3046,n/a,n/a,Mary Fix,Mississauga,5,n/a
2263/3046,n/a,n/a,McKenzie-Smith Bennett,Acton,5,n/a
2263/3046,n/a,n/a,Millbrook/South Cavan,Millbrook,5,n/a
2263/3046,n/a,n/a,Monseigneur Rémi-Gaulin,Kingston,5,n/a
2263/3046,n/a,n/a,Morning Glory,Pefferlaw,5,n/a
2263/3046,n/a,n/a,Mount Carmel Blytheswood,Leamington,5,n/a
2263/3046,n/a,n/a,North Meadows,Strathroy,5,n/a
2263/3046,n/a,n/a,Nottawa,Collingwood,5,n/a
2263/3046,n/a,n/a,Our Lady of Fatima,North Bay,5,n/a
2263/3046,n/a,n/a,Queen Elizabeth II,Petrolia,5,n/a
2263/3046,n/a,n/a,R F Downey,Peterborough,5,n/a
2263/3046,n/a,n/a,Rama Central,Washago,5,n/a
2263/3046,n/a,n/a,Robert Bateman,Ottawa,5,n/a
2263/3046,n/a,n/a,Sainte-Marguerite-Bourgeoys,Woodstock,5,n/a
2263/3046,n/a,n/a,South Branch,Kemptville,5,n/a
2263/3046,n/a,n/a,Southridge,Kitchener,5,n/a
2263/3046,n/a,n/a,St Dominic,Lindsay,5,n/a
2263/3046,n/a,n/a,St Gabriel,Toronto,5,n/a
2263/3046,n/a,n/a,St James,Windsor,5,n/a
2263/3046,n/a,n/a,St John,Garson,5,n/a
2263/3046,n/a,n/a,St Joseph,Guelph,5,n/a
2263/3046,n/a,n/a,St Josephs,Hamilton,5,n/a
2263/3046,n/a,n/a,St Kevin,Toronto,5,n/a
2263/3046,n/a,n/a,St Mary's,Collingwood,5,n/a
2263/3046,n/a,n/a,St Matthew,Toronto,5,n/a
2263/3046,n/a,n/a,St Nicholas,St Catharines,5,n/a
2263/3046,n/a,n/a,St Pio of Pietrelcina,Mississauga,5,n/a
2263/3046,n/a,n/a,St Wilfrid,Toronto,5,n/a
2263/3046,n/a,n/a,W J Watson,Keswick,5,n/a
2263/3046,n/a,n/a,Walpole North,Hagersville,5,n/a
2263/3046,n/a,n/a,Worsley,Wasaga Beach,5,n/a
2315/3046,n/a,n/a,Alain-Fortin,Orléans,4.9,n/a
2315/3046,n/a,n/a,Alcona Glen,Innisfil,4.9,n/a
2315/3046,n/a,n/a,Arthur Ford,London,4.9,n/a
2315/3046,n/a,n/a,Assikinack,Barrie,4.9,n/a
2315/3046,n/a,n/a,Brookside,Lucknow,4.9,n/a
2315/3046,n/a,n/a,Caledonia Centennial,Caledonia,4.9,n/a
2315/3046,n/a,n/a,Charles E Webster,Toronto,4.9,n/a
2315/3046,n/a,n/a,Christ The King,Cambridge,4.9,n/a
2315/3046,n/a,n/a,Duffin's Bay,Ajax,4.9,n/a
2315/3046,n/a,n/a,Eagle Heights,London,4.9,n/a
2315/3046,n/a,n/a,Fairmount,Toronto,4.9,n/a
2315/3046,n/a,n/a,Forest Glade,Windsor,4.9,n/a
2315/3046,n/a,n/a,General Vanier,Fort Erie,4.9,n/a
2315/3046,n/a,n/a,George Vanier,Lively,4.9,n/a
2315/3046,n/a,n/a,Georges Vanier,Belleville,4.9,n/a
2315/3046,n/a,n/a,Glengrove,Pickering,4.9,n/a
2315/3046,n/a,n/a,Hepworth Central,Hepworth,4.9,n/a
2315/3046,n/a,n/a,Holy Cross,Mississauga,4.9,n/a
2315/3046,n/a,n/a,Holy Cross,North Bay,4.9,n/a
2315/3046,n/a,n/a,Holy Name of Jesus,Hamilton,4.9,n/a
2315/3046,n/a,n/a,Lions Oval,Orillia,4.9,n/a
2315/3046,n/a,n/a,Monsignor Morrison,St Thomas,4.9,n/a
2315/3046,n/a,n/a,Moosonee,Moosonee,4.9,n/a
2315/3046,n/a,n/a,Nouveau Regard - Pavillon St-Joseph,Cochrane,4.9,n/a
2315/3046,n/a,n/a,Our Lady of Guadalupe Catholic,Toronto,4.9,n/a
2315/3046,n/a,n/a,Our Lady of Lourdes,Hamilton,4.9,n/a
2315/3046,n/a,n/a,Princess Margaret,Orangeville,4.9,n/a
2315/3046,n/a,n/a,Queen Elizabeth,Oshawa,4.9,n/a
2315/3046,n/a,n/a,Regent Park,Orillia,4.9,n/a
2315/3046,n/a,n/a,Riverview Alternative,Ottawa,4.9,n/a
2315/3046,n/a,n/a,Rothwell-Osnabruck,Ingleside,4.9,n/a
2315/3046,n/a,n/a,Sacred Heart,Rockwood,4.9,n/a
2315/3046,n/a,n/a,Sir William Stephenson,Whitby,4.9,n/a
2315/3046,n/a,n/a,Spring Valley,Brighton,4.9,n/a
2315/3046,n/a,n/a,St Anne,Hanmer,4.9,n/a
2315/3046,n/a,n/a,St Bernard,Toronto,4.9,n/a
2315/3046,n/a,n/a,St Charles,Toronto,4.9,n/a
2315/3046,n/a,n/a,St John Bosco,Port Colborne,4.9,n/a
2315/3046,n/a,n/a,St Jude's,Ingersoll,4.9,n/a
2315/3046,n/a,n/a,St Nicholas,Barrie,4.9,n/a
2315/3046,n/a,n/a,St Theresa,Callander,4.9,n/a
2315/3046,n/a,n/a,Tam O'Shanter,Toronto,4.9,n/a
2315/3046,n/a,n/a,Tsi Snaihne,Akwesasne,4.9,n/a
2315/3046,n/a,n/a,Walter Perry,Toronto,4.9,n/a
2315/3046,n/a,n/a,Waverley,Bowmanville,4.9,n/a
2315/3046,n/a,n/a,Wilberforce,Lucan,4.9,n/a
2361/3046,n/a,n/a,Arklan Community,Carleton Place,4.8,n/a
2361/3046,n/a,n/a,Branlyn,Brantford,4.8,n/a
2361/3046,n/a,n/a,Carleton Village,Toronto,4.8,n/a
2361/3046,n/a,n/a,Central,Renfrew,4.8,n/a
2361/3046,n/a,n/a,Christ the King Catholic,Wallaceburg,4.8,n/a
2361/3046,n/a,n/a,de la Découverte,Val Caron,4.8,n/a
2361/3046,n/a,n/a,Elmbank,Toronto,4.8,n/a
2361/3046,n/a,n/a,Emma King,Barrie,4.8,n/a
2361/3046,n/a,n/a,Fairport Beach,Pickering,4.8,n/a
2361/3046,n/a,n/a,Father F X O'Reilly,Tottenham,4.8,n/a
2361/3046,n/a,n/a,Georges P Vanier,Windsor,4.8,n/a
2361/3046,n/a,n/a,Golden,Balmertown,4.8,n/a
2361/3046,n/a,n/a,Greenholme,Toronto,4.8,n/a
2361/3046,n/a,n/a,Hanover Heights,Hanover,4.8,n/a
2361/3046,n/a,n/a,Harrow,Harrow,4.8,n/a
2361/3046,n/a,n/a,Huntington Park,Hamilton,4.8,n/a
2361/3046,n/a,n/a,Iroquois,Iroquois,4.8,n/a
2361/3046,n/a,n/a,Lisgar,Hamilton,4.8,n/a
2361/3046,n/a,n/a,Lockes,St Thomas,4.8,n/a
2361/3046,n/a,n/a,Maison Montessori,Toronto,4.8,n/a
2361/3046,n/a,n/a,Marchmont,Orillia,4.8,n/a
2361/3046,n/a,n/a,New Lowell Central,New Lowell,4.8,n/a
2361/3046,n/a,n/a,Pine River,Angus,4.8,n/a
2361/3046,n/a,n/a,Plattsville,Plattsville,4.8,n/a
2361/3046,n/a,n/a,Prince Charles,Newmarket,4.8,n/a
2361/3046,n/a,n/a,Rolling Meadows,Burlington,4.8,n/a
2361/3046,n/a,n/a,Sacred Heart,Batawa,4.8,n/a
2361/3046,n/a,n/a,St Andrew,Toronto,4.8,n/a
2361/3046,n/a,n/a,St Ann's,Hamilton,4.8,n/a
2361/3046,n/a,n/a,St Elizabeth,Ottawa,4.8,n/a
2361/3046,n/a,n/a,St Gerard,Mississauga,4.8,n/a
2361/3046,n/a,n/a,St Joseph's,Port Elgin,4.8,n/a
2361/3046,n/a,n/a,St Jude,Toronto,4.8,n/a
2361/3046,n/a,n/a,St Michael's,Cobourg,4.8,n/a
2361/3046,n/a,n/a,St. Pius X,Brantford,4.8,n/a
2361/3046,n/a,n/a,Tecumseth Beeton,Beeton,4.8,n/a
2361/3046,n/a,n/a,Tottenham,Tottenham,4.8,n/a
2361/3046,n/a,n/a,Trille des bois,Ottawa,4.8,n/a
2361/3046,n/a,n/a,W Sherwood Fox,London,4.8,n/a
2400/3046,n/a,n/a,Alexander Stirling,Toronto,4.7,n/a
2400/3046,n/a,n/a,Ashley Oaks,London,4.7,n/a
2400/3046,n/a,n/a,Blake Street,Toronto,4.7,n/a
2400/3046,n/a,n/a,Church Street,Toronto,4.7,n/a
2400/3046,n/a,n/a,Churchill,Sudbury,4.7,n/a
2400/3046,n/a,n/a,Diamond Trail,Welland,4.7,n/a
2400/3046,n/a,n/a,E T Carmichael,North Bay,4.7,n/a
2400/3046,n/a,n/a,Echo Bay Central,Echo Bay,4.7,n/a
2400/3046,n/a,n/a,Elma Township,Atwood,4.7,n/a
2400/3046,n/a,n/a,Fallingbrook,Ottawa,4.7,n/a
2400/3046,n/a,n/a,Father Joseph Venini,Oshawa,4.7,n/a
2400/3046,n/a,n/a,Ganaraska Trail,Port Hope,4.7,n/a
2400/3046,n/a,n/a,H A Halbert,Toronto,4.7,n/a
2400/3046,n/a,n/a,Hillcrest,Owen Sound,4.7,n/a
2400/3046,n/a,n/a,Holy Family,Hanover,4.7,n/a
2400/3046,n/a,n/a,Holy Rosary,Belleville,4.7,n/a
2400/3046,n/a,n/a,Holy Trinity,Sarnia,4.7,n/a
2400/3046,n/a,n/a,Immaculate Conception,Windsor,4.7,n/a
2400/3046,n/a,n/a,J W Walker,Fort Frances,4.7,n/a
2400/3046,n/a,n/a,Jarvis,Jarvis,4.7,n/a
2400/3046,n/a,n/a,John M James,Bowmanville,4.7,n/a
2400/3046,n/a,n/a,John Mahood,Elmira,4.7,n/a
2400/3046,n/a,n/a,Lake Avenue,Stoney Creek,4.7,n/a
2400/3046,n/a,n/a,Mary Wright,Strathroy,4.7,n/a
2400/3046,n/a,n/a,Meadowlane,Kitchener,4.7,n/a
2400/3046,n/a,n/a,Notre-Dame,Hanmer,4.7,n/a
2400/3046,n/a,n/a,Orono,Orono,4.7,n/a
2400/3046,n/a,n/a,Our Lady of Charity,Thunder Bay,4.7,n/a
2400/3046,n/a,n/a,Sacred Heart,Hamilton,4.7,n/a
2400/3046,n/a,n/a,Sacred Heart,Midland,4.7,n/a
2400/3046,n/a,n/a,Saint-Edmond,Windsor,4.7,n/a
2400/3046,n/a,n/a,Sophiasburgh Central,Picton,4.7,n/a
2400/3046,n/a,n/a,St Alfred,Mississauga,4.7,n/a
2400/3046,n/a,n/a,St Aloysius,Stratford,4.7,n/a
2400/3046,n/a,n/a,St Alphonsus,Toronto,4.7,n/a
2400/3046,n/a,n/a,St Anne's,London,4.7,n/a
2400/3046,n/a,n/a,St Anthony,Harrow,4.7,n/a
2400/3046,n/a,n/a,St Bernadette,Barrie,4.7,n/a
2400/3046,n/a,n/a,St Bruno Catholic,Toronto,4.7,n/a
2400/3046,n/a,n/a,St Elizabeth,Thunder Bay,4.7,n/a
2400/3046,n/a,n/a,St Francis,London,4.7,n/a
2400/3046,n/a,n/a,St John,Guelph,4.7,n/a
2400/3046,n/a,n/a,St Martha,Toronto,4.7,n/a
2400/3046,n/a,n/a,St Patrick's,Hamilton,4.7,n/a
2400/3046,n/a,n/a,St. André Bessette,Brampton,4.7,n/a
2400/3046,n/a,n/a,Straffordville,Straffordville,4.7,n/a
2400/3046,n/a,n/a,Summers' Corners,Aylmer,4.7,n/a
2400/3046,n/a,n/a,Tecumseh,Chatham,4.7,n/a
2400/3046,n/a,n/a,Tosorontio Central,Everett,4.7,n/a
2449/3046,n/a,n/a,André-Cary,Kapuskasing,4.6,n/a
2449/3046,n/a,n/a,Angus Morrison,Angus,4.6,n/a
2449/3046,n/a,n/a,Boyne River,Alliston,4.6,n/a
2449/3046,n/a,n/a,Burnham,Cobourg,4.6,n/a
2449/3046,n/a,n/a,Caledon Central,Caledon Village,4.6,n/a
2449/3046,n/a,n/a,Cedarland,Brantford,4.6,n/a
2449/3046,n/a,n/a,Chief Dan George,Toronto,4.6,n/a
2449/3046,n/a,n/a,Christ the King,Brantford,4.6,n/a
2449/3046,n/a,n/a,Dr F J McDonald,Ottawa,4.6,n/a
2449/3046,n/a,n/a,Elgin Court,St Thomas,4.6,n/a
2449/3046,n/a,n/a,Fairbank,Toronto,4.6,n/a
2449/3046,n/a,n/a,Green Acres,Stoney Creek,4.6,n/a
2449/3046,n/a,n/a,Grey Owl,Toronto,4.6,n/a
2449/3046,n/a,n/a,Harold Longworth,Bowmanville,4.6,n/a
2449/3046,n/a,n/a,Helen Detwiler,Hamilton,4.6,n/a
2449/3046,n/a,n/a,Highview,Pembroke,4.6,n/a
2449/3046,n/a,n/a,Hillcrest,Barrie,4.6,n/a
2449/3046,n/a,n/a,Hillside,Mississauga,4.6,n/a
2449/3046,n/a,n/a,Holbrook,Hamilton,4.6,n/a
2449/3046,n/a,n/a,Hugh Beaton,Windsor,4.6,n/a
2449/3046,n/a,n/a,Jersey,Keswick,4.6,n/a
2449/3046,n/a,n/a,John N Given,Chatham,4.6,n/a
2449/3046,n/a,n/a,Kent,Campbellford,4.6,n/a
2449/3046,n/a,n/a,Langton,Langton,4.6,n/a
2449/3046,n/a,n/a,Laurie Hawkins,Ingersoll,4.6,n/a
2449/3046,n/a,n/a,Maynard,Prescott,4.6,n/a
2449/3046,n/a,n/a,Our Lady of Victory,Fort Erie,4.6,n/a
2449/3046,n/a,n/a,Pauline Vanier,Brampton,4.6,n/a
2449/3046,n/a,n/a,Prince of Wales,Hamilton,4.6,n/a
2449/3046,n/a,n/a,Prince of Wales,Peterborough,4.6,n/a
2449/3046,n/a,n/a,Rockland,Rockland,4.6,n/a
2449/3046,n/a,n/a,St Daniel's,Hamilton,4.6,n/a
2449/3046,n/a,n/a,St Francis de Sales,Toronto,4.6,n/a
2449/3046,n/a,n/a,St Mary,Toronto,4.6,n/a
2449/3046,n/a,n/a,St Thomas Aquinas,Oshawa,4.6,n/a
2449/3046,n/a,n/a,St. Anthony's,Port Hope,4.6,n/a
2449/3046,n/a,n/a,Ste-Marguerite-d'Youville,Verner,4.6,n/a
2449/3046,n/a,n/a,Tilbury Area,Tilbury,4.6,n/a
2449/3046,n/a,n/a,Trillium,Kitchener,4.6,n/a
2449/3046,n/a,n/a,Walpole Island,Wallaceburg,4.6,n/a
2449/3046,n/a,n/a,Wilson Avenue,Kitchener,4.6,n/a
2449/3046,n/a,n/a,Woodman-Cainsville,Brantford,4.6,n/a
2491/3046,n/a,n/a,Andrew Hunter,Barrie,4.5,n/a
2491/3046,n/a,n/a,Anna McCrea,Sault Ste. Marie,4.5,n/a
2491/3046,n/a,n/a,Burleigh Hill,St Catharines,4.5,n/a
2491/3046,n/a,n/a,catholique Sainte-Anne,Ottawa,4.5,n/a
2491/3046,n/a,n/a,Centennial,Cambridge,4.5,n/a
2491/3046,n/a,n/a,Chedoke,Hamilton,4.5,n/a
2491/3046,n/a,n/a,General Crerar,Toronto,4.5,n/a
2491/3046,n/a,n/a,Gledhill,Toronto,4.5,n/a
2491/3046,n/a,n/a,Golden Avenue,South Porcupine,4.5,n/a
2491/3046,n/a,n/a,Good Shepherd,Gloucester,4.5,n/a
2491/3046,n/a,n/a,Guardian Angels,Brampton,4.5,n/a
2491/3046,n/a,n/a,Hamlet,Stratford,4.5,n/a
2491/3046,n/a,n/a,J A McWilliam,Windsor,4.5,n/a
2491/3046,n/a,n/a,Kakabeka Falls District,Kakabeka Falls,4.5,n/a
2491/3046,n/a,n/a,Keppel-Sarawak,Owen Sound,4.5,n/a
2491/3046,n/a,n/a,Metcalfe,Metcalfe,4.5,n/a
2491/3046,n/a,n/a,Mount Hope,Mount Hope,4.5,n/a
2491/3046,n/a,n/a,Norwood,Norwood,4.5,n/a
2491/3046,n/a,n/a,Nottawasaga and Creemore,Creemore,4.5,n/a
2491/3046,n/a,n/a,Pauline Johnson,Hamilton,4.5,n/a
2491/3046,n/a,n/a,Pauline Johnson,Toronto,4.5,n/a
2491/3046,n/a,n/a,Princess Elizabeth,London,4.5,n/a
2491/3046,n/a,n/a,Sacred Heart,Toronto,4.5,n/a
2491/3046,n/a,n/a,Saint-Dominique,Sudbury,4.5,n/a
2491/3046,n/a,n/a,Saint-Joseph,Port Colborne,4.5,n/a
2491/3046,n/a,n/a,Sawmill Creek,Gloucester,4.5,n/a
2491/3046,n/a,n/a,Silver Birches,North Bay,4.5,n/a
2491/3046,n/a,n/a,Spruce Ridge,Durham,4.5,n/a
2491/3046,n/a,n/a,St Andrew,Welland,4.5,n/a
2491/3046,n/a,n/a,St Angela,Windsor,4.5,n/a
2491/3046,n/a,n/a,St Anne,Blenheim,4.5,n/a
2491/3046,n/a,n/a,St Antoine Daniel,Victoria Harbour,4.5,n/a
2491/3046,n/a,n/a,St Brigid,Ottawa,4.5,n/a
2491/3046,n/a,n/a,St Joseph,Oshawa,4.5,n/a
2491/3046,n/a,n/a,St Peter,Orangeville,4.5,n/a
2491/3046,n/a,n/a,St. Matthew,Sarnia,4.5,n/a
2491/3046,n/a,n/a,Storrington,Battersea,4.5,n/a
2491/3046,n/a,n/a,Victoria Terrace,Fergus,4.5,n/a
2529/3046,n/a,n/a,Bertha Shaw,South Porcupine,4.4,n/a
2529/3046,n/a,n/a,Clearview Meadows,Stayner,4.4,n/a
2529/3046,n/a,n/a,Cyril Varney,Sudbury,4.4,n/a
2529/3046,n/a,n/a,Emily C General,Ohsweken,4.4,n/a
2529/3046,n/a,n/a,Englehart,Englehart,4.4,n/a
2529/3046,n/a,n/a,Fairview Avenue,Dunnville,4.4,n/a
2529/3046,n/a,n/a,Greenwood,Sault Ste. Marie,4.4,n/a
2529/3046,n/a,n/a,Harris Heights,Ingersoll,4.4,n/a
2529/3046,n/a,n/a,J R Wilcox,Toronto,4.4,n/a
2529/3046,n/a,n/a,Kings Road,Burlington,4.4,n/a
2529/3046,n/a,n/a,Linwood,Linwood,4.4,n/a
2529/3046,n/a,n/a,London Road,Sarnia,4.4,n/a
2529/3046,n/a,n/a,Lucy Maud Montgomery,Toronto,4.4,n/a
2529/3046,n/a,n/a,Lynngate,Toronto,4.4,n/a
2529/3046,n/a,n/a,Madoc,Madoc,4.4,n/a
2529/3046,n/a,n/a,Mitchell Woods,Guelph,4.4,n/a
2529/3046,n/a,n/a,Monsignor Haller,Kitchener,4.4,n/a
2529/3046,n/a,n/a,North Woods,Ethel,4.4,n/a
2529/3046,n/a,n/a,Palmerston,Palmerston,4.4,n/a
2529/3046,n/a,n/a,Pleasant Corners,Vankleek Hill,4.4,n/a
2529/3046,n/a,n/a,Redwood Acres,Hanmer,4.4,n/a
2529/3046,n/a,n/a,Roger Neilson,Peterborough,4.4,n/a
2529/3046,n/a,n/a,Roseneath Centennial,Roseneath,4.4,n/a
2529/3046,n/a,n/a,St Anthony,Brampton,4.4,n/a
2529/3046,n/a,n/a,St Anthony's,Chalk River,4.4,n/a
2529/3046,n/a,n/a,St Bernard,Windsor,4.4,n/a
2529/3046,n/a,n/a,St Catherine,Toronto,4.4,n/a
2529/3046,n/a,n/a,St Sebastian,London,4.4,n/a
2529/3046,n/a,n/a,St Theresa,Whitby,4.4,n/a
2529/3046,n/a,n/a,Steele Street,Barrie,4.4,n/a
2529/3046,n/a,n/a,St-Joseph,Penetanguishene,4.4,n/a
2560/3046,n/a,n/a,Blessed Trinity,Toronto,4.3,n/a
2560/3046,n/a,n/a,Brant Avenue,Guelph,4.3,n/a
2560/3046,n/a,n/a,Buchanan Park,Hamilton,4.3,n/a
2560/3046,n/a,n/a,Byng,Stayner,4.3,n/a
2560/3046,n/a,n/a,Claude E Garton,Thunder Bay,4.3,n/a
2560/3046,n/a,n/a,Essex,Toronto,4.3,n/a
2560/3046,n/a,n/a,Fairwood,Keswick,4.3,n/a
2560/3046,n/a,n/a,General Brock,Toronto,4.3,n/a
2560/3046,n/a,n/a,Heritage,Navan,4.3,n/a
2560/3046,n/a,n/a,Lake Simcoe,Keswick,4.3,n/a
2560/3046,n/a,n/a,Macphail Memorial,Flesherton,4.3,n/a
2560/3046,n/a,n/a,Madoc Township,Madoc,4.3,n/a
2560/3046,n/a,n/a,Maple Leaf,Newmarket,4.3,n/a
2560/3046,n/a,n/a,Maple Wood,Mississauga,4.3,n/a
2560/3046,n/a,n/a,Montague,Smiths Falls,4.3,n/a
2560/3046,n/a,n/a,New Liskeard,New Liskeard,4.3,n/a
2560/3046,n/a,n/a,North Ward,Paris,4.3,n/a
2560/3046,n/a,n/a,Parkland,Sault Ste. Marie,4.3,n/a
2560/3046,n/a,n/a,Queen Elizabeth II,Chatham,4.3,n/a
2560/3046,n/a,n/a,Rawlinson,Toronto,4.3,n/a
2560/3046,n/a,n/a,Ridgeview Moravian,Ridgetown,4.3,n/a
2560/3046,n/a,n/a,Sainte-Trinité,Rockland,4.3,n/a
2560/3046,n/a,n/a,Saint-Thomas-D'Aquin,Astorville,4.3,n/a
2560/3046,n/a,n/a,St Anne,Brampton,4.3,n/a
2560/3046,n/a,n/a,St David,Sudbury,4.3,n/a
2560/3046,n/a,n/a,St Gerald,Toronto,4.3,n/a
2560/3046,n/a,n/a,St Nicholas of Bari,Toronto,4.3,n/a
2560/3046,n/a,n/a,St Vincent,Thunder Bay,4.3,n/a
2560/3046,n/a,n/a,St. Anne's,St Thomas,4.3,n/a
2560/3046,n/a,n/a,Valleyview,Kenora,4.3,n/a
2560/3046,n/a,n/a,Viscount Montgomery,Hamilton,4.3,n/a
2560/3046,n/a,n/a,W Earle Miller,Timmins,4.3,n/a
2560/3046,n/a,n/a,West Lynn,Simcoe,4.3,n/a
2560/3046,n/a,n/a,Winston Churchill,Chatham,4.3,n/a
2594/3046,n/a,n/a,Beau Valley,Oshawa,4.2,n/a
2594/3046,n/a,n/a,Chelmsford,Chelmsford,4.2,n/a
2594/3046,n/a,n/a,Dixon Grove,Toronto,4.2,n/a
2594/3046,n/a,n/a,Dovercourt,Toronto,4.2,n/a
2594/3046,n/a,n/a,East Lambton,Watford,4.2,n/a
2594/3046,n/a,n/a,East View,Sault Ste. Marie,4.2,n/a
2594/3046,n/a,n/a,Evergreen,Kenora,4.2,n/a
2594/3046,n/a,n/a,Harwich-Raleigh,Blenheim,4.2,n/a
2594/3046,n/a,n/a,Héritage,North Bay,4.2,n/a
2594/3046,n/a,n/a,Isabel Fletcher,Sault Ste. Marie,4.2,n/a
2594/3046,n/a,n/a,June Avenue,Guelph,4.2,n/a
2594/3046,n/a,n/a,Kane,Toronto,4.2,n/a
2594/3046,n/a,n/a,King Edward,Toronto,4.2,n/a
2594/3046,n/a,n/a,Macaulay,Bracebridge,4.2,n/a
2594/3046,n/a,n/a,Oakwood,Port Colborne,4.2,n/a
2594/3046,n/a,n/a,Osprey Central,Maxwell,4.2,n/a
2594/3046,n/a,n/a,Our Lady of Fatima,Belleville,4.2,n/a
2594/3046,n/a,n/a,Paris Central,Paris,4.2,n/a
2594/3046,n/a,n/a,Prince Edward,Windsor,4.2,n/a
2594/3046,n/a,n/a,Queen Victoria,Lindsay,4.2,n/a
2594/3046,n/a,n/a,St James,Toronto,4.2,n/a
2594/3046,n/a,n/a,St John Brebeuf,Erin,4.2,n/a
2594/3046,n/a,n/a,St Jude,Thunder Bay,4.2,n/a
2594/3046,n/a,n/a,St Patrick's,Atikokan,4.2,n/a
2594/3046,n/a,n/a,St Peter,Guelph,4.2,n/a
2594/3046,n/a,n/a,St Vincent de Paul,Strathroy,4.2,n/a
2594/3046,n/a,n/a,Teeterville,Teeterville,4.2,n/a
2594/3046,n/a,n/a,Walkerton District,Walkerton,4.2,n/a
2622/3046,n/a,n/a,Arch Street,Ottawa,4.1,n/a
2622/3046,n/a,n/a,Archie Stouffer,Minden,4.1,n/a
2622/3046,n/a,n/a,Assumption,Aylmer,4.1,n/a
2622/3046,n/a,n/a,Birchview Dunes,Wasaga Beach,4.1,n/a
2622/3046,n/a,n/a,Canadian Martyrs,Penetanguishene,4.1,n/a
2622/3046,n/a,n/a,Copper Cliff,Copper Cliff,4.1,n/a
2622/3046,n/a,n/a,D'Arcy McGee,Toronto,4.1,n/a
